newmoonnumber,censusdate,month,mo_diff,drop
551,1/8/2022,2022 Jan,0,
552,1/29/2022,2022 Jan,1,drop
553,2/26/2022,2022 Feb,2,
554,4/9/2022,2022 Mar,0,
555,4/30/2022,2022 Apr,1,
556,5/29/2022,2022 May,1,
557,6/29/2022,2022 Jun,1,
558,7/30/2022,2022 Jul,2,
559,9/1/2022,2022 Aug,0,
560,9/24/2022,2022 Sep,1,
561,10/22/2022,2022 Oct,1,
562,11/19/2022,2022 Nov,1,
563,12/17/2022,2022 Dec,1,
564,1/21/2023,2023 Jan,1,
565,2/18/2023,2023 Feb,1,
566,3/21/2023,2023 Mar,1,
567,4/22/2023,2023 Apr,1,
568,5/19/2023,2023 May,1,
569,6/20/2023,2023 Jun,1,
570,7/18/2023,2023 Jul,1,
571,8/16/2023,2023 Aug,1,
572,9/15/2023,2023 Sep,1,
573,10/14/2023,2023 Oct,1,
574,11/11/2023,2023 Nov,1,
575,12/11/2023,2023 Dec,1,
576,1/10/2024,2024 Jan,1,
577,2/10/2024,2024 Feb,1,
578,3/9/2024,2024 Mar,1,
579,4/5/2024,2024 Apr,1,
580,5/4/2024,2024 May,1,
581,6/5/2024,2024 Jun,1,
582,7/2/2024,2024 Jul,1,
583,8/10/2024,2024 Aug,1,
584,8/31/2024,2024 Sep,1,
585,10/12/2024,2024 Oct,2,
586,11/1/2024,2024 Nov,1,
587,12/7/2024,2024 Dec,0,
588,12/30/2024,2025 Jan,1,
589,2/8/2025,2025 Feb,1,
590,3/1/2025,2025 Mar,1,
591,4/3/2025,2025 Apr,1,
592,5/3/2025,2025 May,1,
593,5/26/2025,2025 May,0,drop
594,6/24/2025,2025 Jun,1,
595,7/24/2025,2025 Jul,1,
596,8/23/2025,2025 Aug,1,
